provider_id,provider_name,provider_type,state,avg_claim_amount,total_claims,fraud_rate,accreditation,years_active
PRV0001,Provider_1,Lab,NY,7847.4,2658,0.0739,None,10
PRV0002,Provider_2,Lab,CA,11985.04,1918,0.0411,AAAHC,22
PRV0003,Provider_3,Specialist,TX,4875.55,4870,0.1363,None,20
PRV0004,Provider_4,Hospital,IL,3314.4,2492,0.0622,None,28
PRV0005,Provider_5,Clinic,CA,11064.89,4525,0.1089,AAAHC,13
PRV0006,Provider_6,Lab,PA,14314.59,3528,0.1227,DNV,9
PRV0007,Provider_7,Specialist,NY,6323.13,4426,0.0164,DNV,17
PRV0008,Provider_8,Pharmacy,GA,10057.68,3096,0.0028,DNV,4
PRV0009,Provider_9,Hospital,IL,1250.49,3134,0.0273,None,29
PRV0010,Provider_10,Specialist,NC,9917.93,288,0.0494,JCAHO,7
PRV0011,Provider_11,Specialist,OH,2444.1,68,0.1402,None,20
PRV0012,Provider_12,Hospital,CA,13605.92,3891,0.1249,JCAHO,28
PRV0013,Provider_13,Lab,MI,10953.76,3261,0.0137,JCAHO,18
PRV0014,Provider_14,Clinic,FL,6619.86,3422,0.0816,None,5
PRV0015,Provider_15,Pharmacy,IL,8800.35,472,0.102,DNV,17
PRV0016,Provider_16,Lab,NY,9106.31,1210,0.0515,AAAHC,17
PRV0017,Provider_17,Pharmacy,IL,5510.25,3339,0.0357,None,1
PRV0018,Provider_18,Clinic,CA,14210.31,34,0.1327,AAAHC,10
PRV0019,Provider_19,Pharmacy,OH,6860.64,2332,0.0699,None,1
PRV0020,Provider_20,Pharmacy,IL,1672.88,860,0.0996,None,5
PRV0021,Provider_21,Clinic,FL,14285.34,4741,0.0241,DNV,25
PRV0022,Provider_22,Pharmacy,MI,11374.24,3765,0.0779,AAAHC,16
PRV0023,Provider_23,Clinic,TX,10336.3,2597,0.1064,JCAHO,19
PRV0024,Provider_24,Lab,MI,5705.05,2957,0.0384,None,27
PRV0025,Provider_25,Hospital,TX,9860.71,3733,0.1313,DNV,13
PRV0026,Provider_26,Specialist,TX,4587.16,525,0.1464,AAAHC,22
PRV0027,Provider_27,Clinic,MI,13061.43,2572,0.1201,DNV,10
